"meth_ind","exp_ind","pearson","pval","sam_size","h2_expression","h2_methylation","rg","rg_se","same_chromosome","qtls_status","dist"
"cg00004089","ILMN_1731233",-0.351603239774704,5.56758542955848e-14,422,0.394,0.3753753754,-0.447459,0.16978,FALSE,NA,NA
"cg00008647","ILMN_1731233",0.359341561794281,1.36940552871369e-14,422,0.394,0.5426587302,0.510007,0.128281,FALSE,NA,NA
"cg00029521","ILMN_1731233",-0.323559314012527,6.42380928035465e-12,422,0.394,0.4930139721,-0.34614,0.118921,FALSE,NA,NA
"cg00038446","ILMN_1731233",-0.325411140918732,4.76903745246356e-12,422,0.394,0.3846153846,-0.411497,0.127259,FALSE,NA,NA
"cg00038446","ILMN_2098126",-0.352334439754486,4.88508614025858e-14,422,0.308,0.3846153846,-0.459589,0.216434,FALSE,NA,NA
"cg00038446","ILMN_2352097",-0.330977082252502,1.92278363389279e-12,422,0.37,0.3846153846,-0.385511,0.147996,FALSE,NA,NA
"cg00038446","ILMN_1773352",-0.32200026512146,8.24092535098567e-12,422,0.311,0.3846153846,-0.245633,0.192728,FALSE,NA,NA
"cg00038446","ILMN_1813338",-0.340368032455444,4.24397320376419e-12,385,0.205,0.3846153846,-0.288938,0.177817,FALSE,NA,NA
"cg00038446","ILMN_1682993",-0.331644266843796,1.72212736025535e-12,422,0.305,0.3846153846,-0.300604,0.170342,FALSE,NA,NA
"cg00047287","ILMN_1791754",0.385880202054977,1.72042656255216e-16,413,0.266,0.7253384913,0.812692,0.107913,TRUE,TRUE,9102
"cg00053851","ILMN_1731233",-0.375587046146393,6.28584737249881e-16,422,0.394,0.4278557114,-0.407532,0.123183,FALSE,NA,NA
"cg00080972","ILMN_2101920",-0.372660338878632,1.11047513126686e-15,422,0.309,0.8751248751,-0.640705,0.075753,TRUE,TRUE,55622
"cg00080972","ILMN_3246409",-0.352143436670303,5.05502501486144e-14,422,0.273,0.8751248751,-0.616978,0.077764,TRUE,TRUE,55562
"cg00091569","ILMN_2404850",0.418863922357559,6.49202711423e-20,422,0.297,0.5292949355,0.764105,0.090874,TRUE,TRUE,75393
"cg00094734","ILMN_1773352",-0.322496682405472,7.61379414324197e-12,422,0.311,0.4110552764,-0.223151,0.197075,FALSE,NA,NA
"cg00101728","ILMN_1712400",0.363015562295914,6.93453722147656e-15,422,0.332,0.8385093168,0.555882,0.091597,TRUE,TRUE,4562
"cg00119778","ILMN_1715169",0.473753660917282,4.21350133430709e-25,407,0.362,0.6252465483,0.641898,0.056982,TRUE,TRUE,80399
"cg00119778","ILMN_2159694",-0.449002057313919,7.08323763648138e-17,301,0.414,0.6252465483,-0.682679,0.092625,TRUE,TRUE,NA
"cg00130165","ILMN_1731233",0.353057563304901,4.29090840429711e-14,422,0.394,0.4131313131,0.582258,0.126326,FALSE,NA,NA
"cg00150882","ILMN_1731233",0.347380578517914,1.17645611858768e-13,422,0.394,0.4824824825,0.429735,0.135361,FALSE,NA,NA
"cg00152117","ILMN_2098126",-0.325252890586853,5.18510146105711e-12,421,0.308,0.4187437687,-0.400053,0.224769,FALSE,NA,NA
"cg00152322","ILMN_1813139",0.417535543441772,1.45108894397851e-19,417,0.262,0.7480314961,0.766694,0.093415,TRUE,TRUE,52729
"cg00174718","ILMN_2098126",-0.34545686841011,1.64765038471526e-13,422,0.308,0.409,-0.641733,0.211247,FALSE,NA,NA
"cg00174718","ILMN_1773352",-0.324950069189072,5.13721008600653e-12,422,0.311,0.409,-0.418166,0.186666,FALSE,NA,NA
"cg00180447","ILMN_1734707",-0.479652374982834,1.06293245137274e-26,422,0.394,0.7273641851,-0.601093,0.05952,TRUE,TRUE,1778
"cg00183186","ILMN_2352097",0.321918219327927,8.34931523699252e-12,422,0.37,0.5689655172,0.361153,0.136109,FALSE,NA,NA
"cg00183186","ILMN_1731233",0.392060786485672,2.26876182229137e-17,422,0.394,0.5689655172,0.427676,0.114369,FALSE,NA,NA
"cg00197322","ILMN_2358069",-0.37533637881279,8.36756250860998e-16,419,0.306,0.6448032291,-0.646075,0.116233,TRUE,FALSE,52619
"cg00204501","ILMN_1731233",0.323322623968124,8.39353219723252e-12,418,0.394,0.2306920762,0.558562,0.165936,FALSE,NA,NA
